                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.32487,                0.31739,                0.83447,                0.99895,                      1,                  0.995,                  0.981,                0.23051,                0.29789,                0.89842,              0.0005744,              0.0005744,              0.0005744
                     38,                0.32454,                0.31637,                0.83597,                0.99895,                      1,                  0.995,                0.98951,                0.21559,                0.27405,                0.89828,              0.0005348,              0.0005348,              0.0005348
                     39,                 0.3083,                0.30243,                0.83867,                0.99894,                      1,                  0.995,                0.92693,                0.30162,                0.30756,                0.90253,              0.0004952,              0.0004952,              0.0004952
                     40,                0.30992,                0.30458,                 0.8414,                0.99883,                      1,                  0.995,                0.99047,                0.23033,                0.29252,                0.89673,              0.0004556,              0.0004556,              0.0004556
                     41,                 0.2501,                0.36391,                0.80361,                0.99875,                      1,                  0.995,                  0.995,                0.21196,                0.34976,                0.89684,               0.000416,               0.000416,               0.000416
                     42,                0.26204,                0.34125,                0.79475,                0.99878,                      1,                  0.995,                0.97732,                0.23535,                0.32202,                0.90285,              0.0003764,              0.0003764,              0.0003764
                     43,                0.25824,                0.32684,                0.79115,                0.99877,                      1,                  0.995,                0.96884,                0.25994,                0.31632,                0.90372,              0.0003368,              0.0003368,              0.0003368
                     44,                0.27909,                 0.3322,                0.77951,                0.99853,                      1,                  0.995,                0.95385,                0.26217,                0.35597,                0.90337,              0.0002972,              0.0002972,              0.0002972
                     45,                0.24857,                0.32663,                0.78051,                0.99859,                      1,                  0.995,                  0.995,                0.23725,                 0.3171,                0.89809,              0.0002576,              0.0002576,              0.0002576
                     46,                 0.2516,                0.30913,                0.78659,                0.99871,                      1,                  0.995,                  0.995,                 0.1981,                0.25437,                 0.8982,               0.000218,               0.000218,               0.000218
                     47,                0.22379,                 0.2752,                0.79234,                0.99879,                      1,                  0.995,                 0.9927,                0.19272,                0.25987,                0.89417,              0.0001784,              0.0001784,              0.0001784
                     48,                 0.2279,                0.27796,                0.78277,                0.99875,                      1,                  0.995,                0.97846,                0.20078,                0.24163,                0.89407,              0.0001388,              0.0001388,              0.0001388
                     49,                0.21728,                0.27178,                 0.7949,                0.99876,                      1,                  0.995,                  0.995,                0.20449,                0.23921,                0.89576,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.20383,                0.27331,                0.78808,                0.99876,                      1,                  0.995,                  0.995,                0.19388,                0.24618,                0.89465,               5.96e-05,               5.96e-05,               5.96e-05
